Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Piewiet 850,Fin w/spade rudder,Fractional Sloop,27.89 ft / 8.50 m,21.98 ft / 6.70 m,325.07 ft² / 30.20 m²,9.51 ft / 2.90 m,"4,850.00 lb / 2,200 kg","2,646.00 lb / 1,200 kg",4.59 ft / 1.40 m,FG,NA,1980,NA,NA,v d Rest Nautic bv,Van der Rest,NA,NA,NA
Maxi 34,Fin w/spade rudder,Fractional (7/8) Sloop,33.46 ft / 10.20 m,26.90 ft / 8.20 m,592.02 ft² / 55.00 m²,10.66 ft / 3.25 m,"10,362.00 lb / 4,700 kg","3,307.00 lb / 1,500 kg",5.58 ft / 1.70 m,FG,NA,1992,1998,71,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Maxi 35,Fin w/spade rudder,Masthead Sloop,34.78 ft / 10.60 m,27.89 ft / 8.50 m,495.14 ft² / 46.00 m²,10.66 ft / 3.25 m,"11,684.00 lb / 5,300 kg","5,071.00 lb / 2,300 kg",4.92 ft / 1.50 m,FG,NA,1986,1991,20,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Maxi 38+,Fin w/spade rudder,Fractional Sloop,37.73 ft / 11.50 m,32.81 ft / 10.00 m,785.77 ft² / 73.00 m²,12.30 ft / 3.75 m,"17,637.00 lb / 8,000 kg","6,173.00 lb / 2,800 kg",5.74 ft / 1.75 m,FG,NA,1995,2001,51,Maxi yachts (SWE),Pelle Petterson,NA,NA,NA
Dufour 360 Grand Large,Fin w/bulb & spade rudder,Fractional (9/10) Sloop,35.20 ft / 10.73 m,29.69 ft / 9.05 m,645.83 ft² / 60.00 m²,11.61 ft / 3.54 m,"12,732.00 lb / 5,775 kg","3,417.00 lb / 1,550 kg",6.23 ft / 1.90 m,FG,NA,2018,NA,NA,Dufour (FRA),Felci Yacht Design,NA,NA,NA
A 35 (Archambault),Fin w/spade rudder,Fractional (9/10) Sloop,34.74 ft / 10.59 m,30.48 ft / 9.29 m,726.56 ft² / 67.50 m²,11.65 ft / 3.55 m,"9,811.00 lb / 4,450 kg","4,387.00 lb / 1,990 kg",6.89 ft / 2.10 m,GRP Sandwich resin infusion,Lead,2006,2013,NA,Archambault Boats (FRA),Joubert-Nivelt,NA,NA,NA
Witus 27,Long keel w/trans. hung rudder,Fractional (7/8) Sloop,27.07 ft / 8.25 m,21.33 ft / 6.50 m,308.92 ft² / 28.70 m²,8.20 ft / 2.50 m,"5,952.00 lb / 2,700 kg","2,205.00 lb / 1,000 kg",3.94 ft / 1.20 m,FG,Iron,1970,NA,46,Motala Boatyard (SWE),Arvid Laurin,NA,NA,NA
Jpk 1180,Fin w/dual rudders,Fractional (9/10) Sloop,38.65 ft / 11.78 m,34.09 ft / 10.39 m,957.99 ft² / 89.00 m²,12.96 ft / 3.95 m,"13,007.00 lb / 5,900 kg","5,842.00 lb / 2,650 kg",7.68 ft / 2.34 m,GRP with vinylester infusion,Lead and iron,2018,NA,NA,JPK Composites (FRA),Jacques Valer,NA,NA,NA
Jpk 1030,Fin w/dual rudders,Fractional (9/10) Sloop,33.92 ft / 10.34 m,29.69 ft / 9.05 m,645.83 ft² / 60.00 m²,10.63 ft / 3.24 m,"7,937.00 lb / 3,600 kg","3,307.00 lb / 1,500 kg",6.43 ft / 1.96 m,GRP with vinylester infusion,Lead,2019,NA,NA,JPK Composites (FRA),Jacques Valer,NA,NA,NA
Garrett 40 Gpr Mh,Fin w/spade rudder,Fractional Sloop,39.67 ft / 12.09 m,31.25 ft / 9.53 m,747.00 ft² / 69.40 m²,13.25 ft / 4.04 m,"13,900.00 lb / 6,305 kg","7,100.00 lb / 3,221 kg",7.50 ft / 2.29 m,FG,Lead,1983,NA,NA,Garrett Marine,Bruce Farr,NA,NA,NA
Worldcruiser 44,Long keel w/rudder on skeg,2 Mst. Schooner,43.92 ft / 13.39 m,32.75 ft / 9.98 m,"1,011.00 ft² / 93.92 m²",11.00 ft / 3.35 m,"23,000.00 lb / 10,433 kg","8,500.00 lb / 3,856 kg",6.17 ft / 1.88 m,FRP,Lead,1980,NA,3,Worldcruiser Yacht Co.,Bud Taplin,NA,NA,NA
Worldcruiser 50,Long keel w/rudder on skeg,2 Mst. Schooner,55.67 ft / 16.97 m,34.33 ft / 10.46 m,"1,395.00 ft² / 129.60 m²",13.00 ft / 3.96 m,"32,000.00 lb / 14,515 kg","13,000.00 lb / 5,897 kg",6.67 ft / 2.03 m,FRP,Lead,1981,NA,4,Worldcruiser Yacht Co,Bud Taplin,NA,NA,NA
Neel 47,Trimaran with fixed unballasted keel,Fractional Sloop,47.00 ft / 14.33 m,44.83 ft / 13.66 m,"1,291.50 ft² / 119.98 m²",27.00 ft / 8.23 m,"23,369.00 lb / 10,600 kg",NA,5.17 ft / 1.58 m,GRP with Airex PVC foam core,NA,2019,NA,NA,Neel Trimarans,Marc Lombard Yacht Design,NA,NA,NA
Maxi 130,Fin w/spade rudder,Masthead Ketch,41.99 ft / 12.80 m,33.46 ft / 10.20 m,914.93 ft² / 85.00 m²,12.47 ft / 3.80 m,"23,149.00 lb / 10,500 kg","7,716.00 lb / 3,500 kg",6.23 ft / 1.90 m,FG,NA,1980,1985,NA,Maxi Yachts,Pelle Peterson,NA,NA,NA
Maxi 380,Fin w/spade rudder,Masthead Sloop,40.03 ft / 12.20 m,37.73 ft / 11.50 m,861.11 ft² / 80.00 m²,12.30 ft / 3.75 m,"16,976.00 lb / 7,700 kg","5,952.00 lb / 2,700 kg",6.56 ft / 2.00 m,FG,NA,1995,1997,24,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Maxi 777,Fin w/spade rudder,Fractional (7/8) Sloop,26.18 ft / 7.98 m,22.15 ft / 6.75 m,301.39 ft² / 28.00 m²,8.20 ft / 2.50 m,"4,189.00 lb / 1,900 kg","1,433.00 lb / 650 kg",5.09 ft / 1.55 m,FG,NA,1982,1983,180,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Maxi 800,Wing keel w/spade rudder,Fractional (7/8) Sloop,27.07 ft / 8.25 m,22.64 ft / 6.90 m,312.15 ft² / 29.00 m²,9.35 ft / 2.85 m,"4,409.00 lb / 2,000 kg","1,653.00 lb / 750 kg",4.43 ft / 1.35 m,FG,NA,1992,1995,43,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Maxi 900,Fin w/spade rudder,Fractional (7/8) Sloop,29.53 ft / 9.00 m,24.61 ft / 7.50 m,403.65 ft² / 37.50 m²,10.10 ft / 3.08 m,"7,055.00 lb / 3,200 kg","2,976.00 lb / 1,350 kg",5.41 ft / 1.65 m,FRP,Iron,1992,1994,37,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Maxi 1050,Fin w/bulb & spade rudder,Fractional (9/10) Sloop,34.61 ft / 10.55 m,30.77 ft / 9.38 m,632.92 ft² / 58.80 m²,10.66 ft / 3.25 m,"10,913.00 lb / 4,950 kg","3,902.00 lb / 1,770 kg",6.14 ft / 1.87 m,Fg,Cast iron,2002,NA,NA,Maxi Yachts (SWE)/ Nimbus,Pelle Petterson,NA,NA,NA
Aira 22,Fin w/bulb and transom hung rudder,Fractional Sloop,21.33 ft / 6.50 m,21.16 ft / 6.45 m,236.81 ft² / 22.00 m²,7.22 ft / 2.20 m,"1,543.00 lb / 700 kg",551.00 lb / 250 kg,3.94 ft / 1.20 m,FG,Lead,2018,NA,NA,Aira Boats,Simonis Voogd Design,1.15 ft / 0.35 m,NA,NA
First Yacht 53 (Beneteau),Fin w/bulb & dual rudders,Fractional Sloop,56.17 ft / 17.12 m,50.52 ft / 15.40 m,"1,785.73 ft² / 165.90 m²",16.40 ft / 5.00 m,"34,390.00 lb / 15,599 kg","9,921.00 lb / 4,500 kg",8.20 ft / 2.50 m,Balsa sandwich infused FG hull,Cast iron,2019,NA,NA,Beneteau,Biscontini Yacht Design,NA,NA,NA
Bestevaer 45st Pure,Lifting keel with dual rudders,Fractional (9/10) Sloop,46.75 ft / 14.25 m,42.65 ft / 13.00 m,797.00 ft² / 74.04 m²,13.29 ft / 4.05 m,"29,762.00 lb / 13,500 kg","10,692.00 lb / 4,850 kg",9.68 ft / 2.95 m,Aluminium,Lead,2016,NA,NA,KM Yachtbuilders,Dykstra Naval Architects,4.27 ft / 1.30 m,NA,NA
Bestevaer 55st,Fin w/bulb & spade rudder,Cutter,55.45 ft / 16.90 m,50.43 ft / 15.37 m,"1,495.00 ft² / 138.89 m²",15.22 ft / 4.64 m,"50,706.00 lb / 23,000 kg","11,684.00 lb / 5,300 kg",7.55 ft / 2.30 m,Aluminium,Lead,2009,NA,NA,KM Boatbuilders,Dykstra Naval Architects,NA,NA,NA
Bestevaer 49st,Fin w/bulb & spade rudder,Fractional (9/10) Sloop,49.11 ft / 14.97 m,45.01 ft / 13.72 m,"1,127.00 ft² / 104.70 m²",14.44 ft / 4.40 m,"37,479.00 lb / 17,000 kg","13,007.00 lb / 5,900 kg",6.89 ft / 2.10 m,Aluminium,Lead,2009,NA,NA,KM Boatbuilders,Dykstra Naval Architects,NA,NA,NA
Bestevaer 53st,Fin w/bulb & spade rudder,Cutter,53.05 ft / 16.17 m,48.79 ft / 14.87 m,"1,675.94 ft² / 155.70 m²",15.22 ft / 4.64 m,"39,683.00 lb / 18,000 kg","14,418.00 lb / 6,540 kg",7.55 ft / 2.30 m,Aluminium,Lead,2004,NA,NA,KM Yachtbuilders,Dykstra Naval Architects,NA,NA,NA
Bestevaer 56st,Lifting Keel,Fractional (7/8) Sloop,57.68 ft / 17.58 m,49.87 ft / 15.20 m,"1,560.77 ft² / 145.00 m²",15.22 ft / 4.64 m,"46,297.00 lb / 21,000 kg","8,818.00 lb / 4,000 kg",11.48 ft / 3.50 m,Aluminium,Lead,2006,NA,NA,KM Yachtbuilders,Dykstra Naval Architects,5.91 ft / 1.80 m,NA,NA
Bestewind 50,Fin w/bulb & spade rudder,Fractional Sloop,49.11 ft / 14.97 m,45.01 ft / 13.72 m,"1,308.89 ft² / 121.60 m²",14.44 ft / 4.40 m,"37,479.00 lb / 17,000 kg","12,346.00 lb / 5,600 kg",7.05 ft / 2.15 m,Polyester composite,Lead,2008,NA,NA,KM Yachtbuilders,Dykstra Naval Architects,NA,NA,NA
Stadtship 56,Lifting Keel,Fractional Sloop,56.10 ft / 17.10 m,52.49 ft / 16.00 m,"1,797.57 ft² / 167.00 m²",16.57 ft / 5.05 m,"48,502.00 lb / 22,000 kg","16,755.00 lb / 7,600 kg",10.33 ft / 3.15 m,Aluminium,Lead,2005,NA,NA,KM Yachtbuilders,Van de Stadt Design,2.62 ft / 0.80 m,NA,NA
Bayfield 40,Long Keel,Staysail Ketch,39.50 ft / 12.04 m,30.50 ft / 9.30 m,"1,009.00 ft² / 93.74 m²",12.00 ft / 3.66 m,"21,000.00 lb / 9,525 kg","8,200.00 lb / 3,719 kg",4.92 ft / 1.50 m,FG,Lead,1982,1988,NA,Bayfield Boat Yard Ltd. (CAN),Ted Gozzard,NA,NA,NA
Maxi 1100,Fin w/bulb & spade rudder,Fractional Sloop,36.65 ft / 11.17 m,32.32 ft / 9.85 m,726.56 ft² / 67.50 m²,11.98 ft / 3.65 m,"13,448.00 lb / 6,100 kg","5,291.00 lb / 2,400 kg",6.56 ft / 2.00 m,FG w/PVC core,Lead,1999,2005,NA,Maxi Yachts (SWE),Pelle Petterson,NA,NA,NA
Ovni 455,Lifting Keel,Cutter,49.05 ft / 14.95 m,41.34 ft / 12.60 m,"1,140.97 ft² / 106.00 m²",14.27 ft / 4.35 m,"26,455.00 lb / 12,000 kg","9,921.00 lb / 4,500 kg",7.87 ft / 2.40 m,Aluminum,Lead,1994,2007,NA,Chantier Alubat (FRA),Philippe Briand,2.62 ft / 0.80 m,NA,NA
Ovni 30,Lifting Keel,Masthead Sloop,30.51 ft / 9.30 m,24.28 ft / 7.40 m,473.61 ft² / 44.00 m²,10.50 ft / 3.20 m,"6,834.00 lb / 3,100 kg",NA,6.07 ft / 1.85 m,Aluminium,NA,1987,2001,NA,Chantier Alubat (FRA),Philippe Briand,1.64 ft / 0.50 m,NA,NA
Ovni 31,Fin with rudder on skeg,Masthead Sloop,31.17 ft / 9.50 m,24.61 ft / 7.50 m,570.49 ft² / 53.00 m²,10.66 ft / 3.25 m,"8,378.00 lb / 3,800 kg","3,527.00 lb / 1,600 kg",5.41 ft / 1.65 m,Aluminum,Lead,1976,1980,NA,Chantier Alubat (FRA),Michel Joubert,NA,NA,NA
Ovni 33,Lifting Keel,Masthead Sloop,34.97 ft / 10.66 m,28.22 ft / 8.60 m,651.22 ft² / 60.50 m²,11.61 ft / 3.54 m,"9,259.00 lb / 4,200 kg","3,770.00 lb / 1,710 kg",7.38 ft / 2.25 m,Aluminum,NA,1982,1985,NA,Alubat (FRA),Gilles Vaton,1.48 ft / 0.45 m,NA,NA
Moody 41 Ds,Fin w/bulb & spade rudder,Fractional Sloop,41.08 ft / 12.52 m,37.47 ft / 11.42 m,893.40 ft² / 83.00 m²,13.78 ft / 4.20 m,"24,692.00 lb / 11,200 kg","6,900.00 lb / 3,130 kg",7.02 ft / 2.14 m,GRP w/vinylester and balsa sandwich,Cast iron,2019,NA,NA,Moody/HanseYachts AG,Dixon Yacht Design,NA,NA,NA
Florance Oakland,Long keel w/trans. hung rudder,2 Mst. Schooner,22.50 ft / 6.86 m,20.00 ft / 6.10 m,297.00 ft² / 27.59 m²,7.67 ft / 2.34 m,NA,"1,500.00 lb / 680 kg",3.00 ft / 0.91 m,Plywood,Lead,1970,NA,75,Various,William Atkin,NA,NA,NA
Ovni 36,Lifting Keel,Cutter,39.21 ft / 11.95 m,29.53 ft / 9.00 m,775.00 ft² / 72.00 m²,12.30 ft / 3.75 m,"12,346.00 lb / 5,600 kg","5,071.00 lb / 2,300 kg",6.73 ft / 2.05 m,Aluminum,Lead,1989,2005,NA,Chantiers Alubat (FRA),Philippe Briand,1.80 ft / 0.55 m,NA,NA
Ovni 39,Lifting Keel,Masthead Sloop,39.34 ft / 11.99 m,32.35 ft / 9.86 m,868.65 ft² / 80.70 m²,12.96 ft / 3.95 m,"17,637.00 lb / 8,000 kg","7,716.00 lb / 3,500 kg",7.22 ft / 2.20 m,Aluminum,Lead,1987,1997,NA,Chantiers Alubat (FRA),Philippe Briand,2.30 ft / 0.70 m,NA,NA
Ovni 40,Lifting Keel,Cutter,41.34 ft / 12.60 m,33.79 ft / 10.30 m,"1,107.39 ft² / 102.88 m²",14.11 ft / 4.30 m,"18,739.00 lb / 8,500 kg","7,937.00 lb / 3,600 kg",7.55 ft / 2.30 m,Aluminum,Lead,1984,1987,NA,Chantiers Alubat (FRA),Philippe Briand,2.30 ft / 0.70 m,NA,NA
Oyster 39,Fin with rudder on skeg,Masthead Ketch,40.68 ft / 12.40 m,33.33 ft / 10.16 m,NA,12.89 ft / 3.93 m,"19,498.00 lb / 8,844 kg","7,815.00 lb / 3,545 kg",5.68 ft / 1.73 m,FG,NA,1978,1984,43,"Oyster Marine, Ltd.",Donald Pye,NA,NA,NA
Allures 40.9,Keel/CB w/dual rudders,Fractional Sloop,40.55 ft / 12.36 m,36.88 ft / 11.24 m,888.02 ft² / 82.50 m²,13.62 ft / 4.15 m,"24,030.00 lb / 10,900 kg","9,259.00 lb / 4,200 kg",9.02 ft / 2.75 m,Aluminum,Lead,2019,NA,NA,Allures Yachting,Berret Racoupeau Yacht Design,3.48 ft / 1.06 m,NA,NA
Ovni 41,Lifting Keel,Cutter,42.65 ft / 13.00 m,33.79 ft / 10.30 m,925.70 ft² / 86.00 m²,14.11 ft / 4.30 m,"18,739.00 lb / 8,500 kg","7,937.00 lb / 3,600 kg",8.20 ft / 2.50 m,Aluminum,NA,1986,1991,NA,Chantiers Alubat (FRA),Philippe Briand,2.62 ft / 0.80 m,NA,NA
Ovni 52 Evolution,Lifting keel with dual rudders,Solent,53.61 ft / 16.34 m,50.82 ft / 15.49 m,"1,539.24 ft² / 143.00 m²",16.01 ft / 4.88 m,"36,597.00 lb / 16,600 kg","7,220.00 lb / 3,275 kg",11.65 ft / 3.55 m,Aluminum,NA,2012,NA,NA,Chantiers Alubat (FRA),Marc Lombard,4.59 ft / 1.40 m,NA,NA
Cigale 16,Fin w/bulb & dual rudders,Fractional Sloop,54.36 ft / 16.57 m,52.17 ft / 15.90 m,"1,529.55 ft² / 142.10 m²",15.75 ft / 4.80 m,"25,353.00 lb / 11,500 kg","7,275.00 lb / 3,300 kg",8.07 ft / 2.46 m,Aluminum,NA,2017,NA,NA,Chantiers Alubat (FRA),Marc Lombard,NA,NA,NA
Cigale 18,Fin w/bulb & dual rudders,Fractional Sloop,59.84 ft / 18.24 m,57.15 ft / 17.42 m,"1,668.41 ft² / 155.00 m²",16.99 ft / 5.18 m,"34,172.00 lb / 15,500 kg","11,023.00 lb / 5,000 kg",9.35 ft / 2.85 m,Aluminum,NA,2018,NA,NA,Chantiers Alubat (FRA),Marc Lombard,NA,NA,NA
Drascombe Scaffie,Triple Keel,Standing Lug,14.76 ft / 4.50 m,12.30 ft / 3.75 m,100.10 ft² / 9.30 m²,5.74 ft / 1.75 m,463.00 lb / 210 kg,NA,1.21 ft / 0.37 m,GRP,NA,1978,NA,NA,Honnor Marine,John L. Watkinson,NA,NA,NA
Tamarisk 19,Centerboard (Trunk),Gaffhead Sloop,19.00 ft / 5.79 m,17.26 ft / 5.26 m,229.27 ft² / 21.30 m²,7.35 ft / 2.24 m,"3,086.00 lb / 1,400 kg",NA,4.04 ft / 1.23 m,GRP,NA,1972,NA,NA,Cutriss Boats/Honnor Marine,David Cannell,1.74 ft / 0.53 m,NA,NA
Nauticat 351,Fin with rudder on skeg,Masthead Sloop,34.78 ft / 10.60 m,29.69 ft / 9.05 m,629.69 ft² / 58.50 m²,11.48 ft / 3.50 m,"16,535.00 lb / 7,500 kg","5,952.00 lb / 2,700 kg",5.91 ft / 1.80 m,GRP,Lead,2005,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Helsen 20,Swing keel w/outboard rudder,Masthead Sloop,20.08 ft / 6.12 m,17.33 ft / 5.28 m,181.00 ft² / 16.82 m²,7.33 ft / 2.23 m,"2,000.00 lb / 907 kg",400.00 lb / 181 kg,NA,FG,Lead,1974,NA,NA,Helsen Yachts (USA),"J. ""Jopie"" Helsen",1.17 ft / 0.36 m,NA,NA
Nauticat 37,Fin w/rudder on partial skeg,Masthead Sloop,36.84 ft / 11.23 m,33.14 ft / 10.10 m,807.29 ft² / 75.00 m²,11.81 ft / 3.60 m,"20,944.00 lb / 9,500 kg","6,724.00 lb / 3,050 kg",6.07 ft / 1.85 m,FG,Lead,2002,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Nauticat 385,Fin w/rudder on partial skeg,Masthead Sloop,38.22 ft / 11.65 m,33.14 ft / 10.10 m,807.29 ft² / 75.00 m²,11.81 ft / 3.60 m,"20,944.00 lb / 9,500 kg","6,724.00 lb / 3,050 kg",6.07 ft / 1.85 m,FG,Lead,2005,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Nauticat 42,Fin w/rudder on partial skeg,Masthead Sloop,42.65 ft / 13.00 m,33.96 ft / 10.35 m,771.77 ft² / 71.70 m²,13.12 ft / 4.00 m,"35,274.00 lb / 16,000 kg","10,141.00 lb / 4,600 kg",6.40 ft / 1.95 m,FG,Lead,1995,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Nauticat 515,Fin w/rudder on partial skeg,Masthead Sloop,50.59 ft / 15.42 m,40.09 ft / 12.22 m,"1,355.18 ft² / 125.90 m²",15.09 ft / 4.60 m,"52,911.00 lb / 24,000 kg","18,078.00 lb / 8,200 kg",7.22 ft / 2.20 m,FG,Lead,1996,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Nauticat 525,Fin w/rudder on partial skeg,Masthead Ketch,52.17 ft / 15.90 m,40.03 ft / 12.20 m,"1,525.25 ft² / 141.70 m²",15.09 ft / 4.60 m,"52,911.00 lb / 24,000 kg","19,180.00 lb / 8,700 kg",7.22 ft / 2.20 m,FG,Lead,2010,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Nauticat 441,Long Keel,Masthead Ketch,44.78 ft / 13.65 m,36.91 ft / 11.25 m,926.77 ft² / 86.10 m²,12.30 ft / 3.75 m,"36,376.00 lb / 16,500 kg","12,125.00 lb / 5,500 kg",6.23 ft / 1.90 m,GRP,Iron/lead,2009,NA,NA,Nauticat Yachts OY (FIN),Kaj Gustafsson,NA,NA,NA
Core Sound 20 Mark 3,Cbrd w/outboard rudder,Cat Ketch,20.00 ft / 6.10 m,18.67 ft / 5.69 m,180.00 ft² / 16.72 m²,6.52 ft / 1.99 m,"1,500.00 lb / 680 kg",438.00 lb / 199 kg,3.52 ft / 1.07 m,Wood,Lead and water,2014,NA,NA,Various - Kits available,B&B Yacht Designs,0.75 ft / 0.23 m,NA,NA
Amethyste,Long keel w/trans. hung rudder,Masthead Sloop,20.67 ft / 6.30 m,17.29 ft / 5.27 m,269.10 ft² / 25.00 m²,7.55 ft / 2.30 m,"3,086.00 lb / 1,400 kg",772.00 lb / 350 kg,2.69 ft / 0.82 m,GRP,NA,1974,NA,NA,Amiot Naval (FRA),Henri Garreta,NA,NA,NA
Silhouette Mk Iii,Twin Keel,Masthead Sloop,17.25 ft / 5.26 m,14.00 ft / 4.27 m,165.00 ft² / 15.33 m²,6.58 ft / 2.01 m,"1,288.00 lb / 584 kg",450.00 lb / 204 kg,2.08 ft / 0.63 m,FG,Cast Iron,1967,1972,365,Hurley Marine Ltd. (UK),Robert Tucker,NA,NA,NA
Wing 34,Fin w/spade rudder,Fractional Sloop,33.46 ft / 10.20 m,26.90 ft / 8.20 m,667.36 ft² / 62.00 m²,11.15 ft / 3.40 m,"7,716.00 lb / 3,500 kg","3,527.00 lb / 1,600 kg",6.23 ft / 1.90 m,FG with kevlar reinforcement,Lead,1982,1990,16,Le Petit Bateau S.a.S (ITA),Luca Taddei,NA,NA,NA
Milord,Long keel w/trans. hung rudder,Fractional Sloop,25.36 ft / 7.73 m,20.34 ft / 6.20 m,422.59 ft² / 39.26 m²,8.20 ft / 2.50 m,"8,378.00 lb / 3,800 kg",NA,3.94 ft / 1.20 m,FG,NA,1963,NA,NA,"AMC (Croisic, FRA)",Jean-Jacques Herbulot,NA,NA,NA
As De Pique,Fin with rudder on skeg,Fractional Sloop,27.89 ft / 8.50 m,24.11 ft / 7.35 m,318.40 ft² / 29.58 m²,8.20 ft / 2.50 m,"4,299.00 lb / 1,950 kg","1,764.00 lb / 800 kg",4.76 ft / 1.45 m,Plywood,NA,1962,NA,NA,Chantier Mallard (FRA),Jean-Jacques Herbulot,NA,NA,NA
Chassiron Cf,Long Keel,Masthead Sloop,29.92 ft / 9.12 m,23.29 ft / 7.10 m,393.96 ft² / 36.60 m²,9.32 ft / 2.84 m,"8,378.00 lb / 3,800 kg","3,307.00 lb / 1,500 kg",4.49 ft / 1.37 m,Wood/GRP,NA,1961,1984,NA,E. Richard (FRA),Michel Joubert,NA,NA,NA
Chassiron Tm,Long Keel,Masthead Ketch,42.81 ft / 13.05 m,32.81 ft / 10.00 m,968.75 ft² / 90.00 m²,12.63 ft / 3.85 m,"20,944.00 lb / 9,500 kg","8,818.00 lb / 4,000 kg",5.58 ft / 1.70 m,GRP,NA,1974,1982,120,E Richard (FRA),Michel Joubert,NA,NA,NA
Chassiron Gc,Long Keel,Masthead Ketch,34.28 ft / 10.45 m,28.05 ft / 8.55 m,564.24 ft² / 52.42 m²,9.45 ft / 2.88 m,"12,677.00 lb / 5,750 kg","4,409.00 lb / 2,000 kg",5.02 ft / 1.53 m,GRP,NA,1974,1984,120,E. Richard (FRA),Michel Joubert,NA,NA,NA
Chassiron Junior,Long Keel,Masthead Sloop,25.26 ft / 7.70 m,19.42 ft / 5.92 m,324.53 ft² / 30.15 m²,8.01 ft / 2.44 m,"6,393.00 lb / 2,900 kg","2,205.00 lb / 1,000 kg",3.61 ft / 1.10 m,Wood/GRP,NA,1974,1984,NA,E. Richard (FRA),NA,NA,NA,NA
Grand Soleil 42 Lc,Fin w/bulb & spade rudder,Fractional (9/10) Sloop,45.44 ft / 13.85 m,NA,"1,114.06 ft² / 103.50 m²",13.65 ft / 4.16 m,"21,164.00 lb / 9,600 kg","6,030.00 lb / 2,735 kg",7.38 ft / 2.25 m,GRP,NA,2019,NA,NA,Cantiere Del Pardo,Marco Lostuzzi,NA,NA,NA
Chassiron Rf,Long Keel,Masthead Sloop,34.61 ft / 10.55 m,27.07 ft / 8.25 m,613.54 ft² / 57.00 m²,11.15 ft / 3.40 m,"12,125.00 lb / 5,500 kg","4,409.00 lb / 2,000 kg",5.08 ft / 1.55 m,FG,NA,1979,NA,NA,E. Richard,Michel Joubert,NA,NA,NA
Chassiron Gt,Long Keel,Masthead Ketch,37.07 ft / 11.30 m,29.53 ft / 9.00 m,742.71 ft² / 69.00 m²,11.81 ft / 3.60 m,"16,535.00 lb / 7,500 kg","6,614.00 lb / 3,000 kg",5.58 ft / 1.70 m,FG,NA,1977,1982,NA,E. Richard (FRA),Michel Joubert,NA,NA,NA
Grand Soleil 46 Lc,Fin w/bulb & spade rudder,Fractional Sloop,48.29 ft / 14.72 m,41.73 ft / 12.72 m,"1,205.56 ft² / 112.00 m²",14.47 ft / 4.41 m,"26,455.00 lb / 12,000 kg","9,259.00 lb / 4,200 kg",7.55 ft / 2.30 m,GRP,Cast iron + lead,2015,NA,NA,Cantiere del Pardo,Marco Lostuzzi,NA,NA,NA
Grand Soleil 48 Performance,Fin w/bulb & spade rudder,Fractional (9/10) Sloop,52.00 ft / 15.85 m,43.96 ft / 13.40 m,"1,370.78 ft² / 127.35 m²",14.76 ft / 4.50 m,"25,353.00 lb / 11,500 kg","8,783.00 lb / 3,984 kg",9.19 ft / 2.80 m,E-glass w/ epoxy vinyester + PVC foam core,Lead bulb,2017,NA,NA,Cantiere del Pardo,Marco Lostuzzi,NA,NA,NA
Grand Soleil 48 Race,Fin w/bulb & spade rudder,Fractional (9/10) Sloop,54.63 ft / 16.65 m,43.96 ft / 13.40 m,"1,477.88 ft² / 137.30 m²",14.76 ft / 4.50 m,"23,149.00 lb / 10,500 kg","8,783.00 lb / 3,984 kg",9.84 ft / 3.00 m,E-glass w/ epoxy vinyester + PVC foam core,Lead bulb,2017,NA,NA,Cantiere del Pardo,Marco Lostuzzi,NA,NA,NA
Grand Soleil 52 Lc,Fin w/bulb & spade rudder,Fractional Sloop,55.94 ft / 17.05 m,48.95 ft / 14.92 m,"1,603.82 ft² / 149.00 m²",16.08 ft / 4.90 m,"37,258.00 lb / 16,900 kg","12,346.00 lb / 5,600 kg",8.20 ft / 2.50 m,NA,Cast iron fin with head bulb,2018,NA,NA,Cantiere del Pardo,Marco Lostuzzi,NA,NA,NA
Rustler 57,Fin w/bulb & spade rudder,Cutter,57.09 ft / 17.40 m,47.54 ft / 14.49 m,"1,915.98 ft² / 178.00 m²",16.40 ft / 5.00 m,"59,966.00 lb / 27,200 kg","20,598.00 lb / 9,343 kg",8.50 ft / 2.59 m,GRP monolithic construction,Lead,2019,NA,NA,Rustler Yachts,Stephen Jones,NA,NA,NA
